row,col,tile_id,mode,score
0,0,101,nearest,19
0,1,72,nearest,23
0,2,91,inner_exact,0
0,3,91,inner_exact,0
0,4,91,inner_exact,0
0,5,91,inner_exact,0
0,6,91,inner_exact,0
0,7,91,inner_exact,0
0,8,91,inner_exact,0
0,9,108,nearest,31
0,10,1,inner_exact,0
0,11,1,inner_exact,0
0,12,1,inner_exact,0
0,13,1,inner_exact,0
0,14,1,inner_exact,0
0,15,30,nearest,48
0,16,31,nearest,15
0,17,31,nearest,13
0,18,31,nearest,10
0,19,31,nearest,13
0,20,31,nearest,13
0,21,31,nearest,15
0,22,31,nearest,18
0,23,31,nearest,15
0,24,31,nearest,12
0,25,31,nearest,13
0,26,31,nearest,10
0,27,31,nearest,13
0,28,31,nearest,13
0,29,16,nearest,100
0,30,27,nearest,18
0,31,79,nearest,28
0,32,13,nearest,19
0,33,22,nearest,21
0,34,24,nearest,46
0,35,30,nearest,53
0,36,31,nearest,15
0,37,31,nearest,15
0,38,31,nearest,15
0,39,31,nearest,15
0,40,31,nearest,13
0,41,31,nearest,13
0,42,31,nearest,13
0,43,31,nearest,13
0,44,31,nearest,15
0,45,31,nearest,18
0,46,31,nearest,15
0,47,31,nearest,12
0,48,31,nearest,13
0,49,31,nearest,11
0,50,31,nearest,13
0,51,31,nearest,16
0,52,31,nearest,15
0,53,31,nearest,17
0,54,31,nearest,15
0,55,31,nearest,15
0,56,31,nearest,13
0,57,31,nearest,13
0,58,31,nearest,13
0,59,31,nearest,15
0,60,31,nearest,15
0,61,31,nearest,17
0,62,31,nearest,15
0,63,31,nearest,13
0,64,31,nearest,13
0,65,31,nearest,13
0,66,31,nearest,16
0,67,31,nearest,15
0,68,31,nearest,18
0,69,31,nearest,15
0,70,31,nearest,18
0,71,16,nearest,91
0,72,1,inner_exact,0
0,73,1,inner_exact,0
0,74,1,inner_exact,0
0,75,106,nearest,37
0,76,107,nearest,9
0,77,107,nearest,7
0,78,108,nearest,40
0,79,1,inner_exact,0
0,80,1,inner_exact,0
0,81,14,nearest,55
0,82,15,nearest,41
0,83,15,nearest,44
0,84,15,nearest,39
0,85,15,nearest,36
0,86,15,nearest,36
0,87,15,nearest,41
0,88,15,nearest,41
0,89,15,nearest,43
0,90,15,nearest,41
0,91,15,nearest,44
0,92,15,nearest,36
0,93,15,nearest,39
0,94,15,nearest,36
0,95,15,nearest,33
0,96,31,nearest,11
0,97,31,nearest,13
0,98,31,nearest,15
0,99,31,nearest,15
0,100,31,nearest,15
0,101,31,nearest,12
0,102,31,nearest,13
0,103,16,nearest,89
0,104,1,inner_exact,0
0,105,1,inner_exact,0
0,106,1,inner_exact,0
0,107,1,inner_exact,0
0,108,1,inner_exact,0
