row,col,tile_id,mode,score
0,0,2,nearest,9594
0,1,2,nearest,9554
0,2,2,nearest,9515
0,3,70,nearest,9626
0,4,1,nearest,16635
0,5,1,nearest,16533
0,6,1,nearest,16556
1,0,2,nearest,9594
1,1,2,nearest,9554
1,2,2,nearest,9515
1,3,70,nearest,9626
1,4,1,nearest,16635
1,5,1,nearest,16533
1,6,1,nearest,16556
2,0,122,nearest,2136
2,1,122,nearest,2135
2,2,72,nearest,89591
2,3,124,nearest,2337
2,4,2,nearest,9436
2,5,2,nearest,9377
2,6,70,nearest,9302
3,0,1,nearest,16904
3,1,1,nearest,16825
3,2,1,nearest,16843
3,3,124,nearest,2337
3,4,2,nearest,9436
3,5,2,nearest,9377
3,6,70,nearest,9302
4,0,1,nearest,16904
4,1,1,nearest,16825
4,2,1,nearest,16843
4,3,122,nearest,2121
4,4,122,nearest,2113
4,5,122,nearest,2105
4,6,98,nearest,2096
5,0,1,nearest,16904
5,1,1,nearest,16825
5,2,1,nearest,16843
5,3,122,nearest,2121
5,4,122,nearest,2113
5,5,122,nearest,2105
5,6,98,nearest,2096
6,0,1,nearest,16904
6,1,1,nearest,16825
6,2,1,nearest,16760
6,3,1,nearest,16705
6,4,1,nearest,16635
6,5,1,nearest,16585
6,6,67,nearest,2276
7,0,1,nearest,16904
7,1,1,nearest,16825
7,2,1,nearest,16760
7,3,1,nearest,16705
7,4,1,nearest,16635
7,5,1,nearest,16585
7,6,108,nearest,2614
