tile_id,atlas_row,atlas_column,category,source_tileset,source_row,source_column
0,0,0,black,TILESET - Airship.png,2,0
1,0,1,black,TILESET - World_of_Darkness1.png,3,12
2,0,2,black,TILESET - World_of_Darkness1.png,3,13
3,0,3,black,TILESET - World_of_Darkness1.png,3,14
4,0,4,black,TILESET - Canaan-NobleHouse.png,5,15
5,0,5,black,TILESET - Canaan-Inn_ItemShop.png,5,15
6,0,6,black,TILESET - Canaan-Inn_ItemShop.png,4,8
7,0,7,black,TILESET - Canaan-CidHouse_2F.png,4,8
8,0,8,black,TILESET - Canaan-CidHouse_1F.png,4,8
9,0,9,black,TILESET - Canaan-Shrine.png,4,8
10,0,10,black,TILESET - Canaan-Magic_WeaponShop.png,4,8
11,0,11,black,TILESET - Canaan-ArmorShop.png,4,8
12,0,12,black,TILESET - Canaan-CidHouse_1F.png,5,8
13,0,13,black,TILESET - World_of_Darkness-Crystal_Room.png,3,0
14,0,14,black,TILESET - World_of_Darkness1.png,3,10
15,0,15,black,TILESET - Crystal_Tower_1F.png,2,6
16,1,0,black,TILESET - World_of_Darkness1.png,3,7
17,1,1,black,TILESET - World_of_Darkness1.png,3,1
18,1,2,black,TILESET - Inn_ItemShop.png,0,12
19,1,3,black,TILESET - Molten_CaveB1.png,3,0
20,1,4,black,TILESET - Nepto_Temple1F.png,7,4
21,1,5,black,TILESET - Saronia_Castle-Gate.png,1,7
22,1,6,black,TILESET - Canaan-CidHouse_2F.png,7,14
23,1,7,black,TILESET - Canaan-CidHouse_2F.png,6,8
24,1,8,black,TILESET - World_of_Darkness-Crystal_Room.png,6,9
25,1,9,black,TILESET - Dwarven_Hollow-Inn_ItemShop.png,1,12
26,1,10,black,TILESET - Canaan-Inn_ItemShop.png,4,15
27,1,11,black,TILESET - Canaan-NobleHouse.png,4,8
28,1,12,black,TILESET - Heins_Castle1.png,2,13
29,1,13,black,TILESET - Heins_Castle1.png,3,0
30,1,14,black,TILESET - Saronia_Castle-Gate.png,1,4
31,1,15,black,TILESET - Chocobos_Forest.png,5,4
32,2,0,black,TILESET - Retrieval_Forest.png,5,4
33,2,1,black,TILESET - Canaan-Inn_ItemShop.png,5,14
34,2,2,black,TILESET - Canaan-Shrine.png,5,14
35,2,3,black,TILESET - Canaan-CidHouse_2F.png,5,14
36,2,4,black,TILESET - Canaan-CidHouse_1F.png,3,10
37,2,5,black,TILESET - Canaan-ArmorShop.png,3,10
38,2,6,black,TILESET - Canaan-Magic_WeaponShop.png,3,10
39,2,7,black,TILESET - Canaan-CidHouse_1F.png,6,0
40,2,8,black,TILESET - Canaan-CidHouse_2F.png,6,0
41,2,9,black,TILESET - Canaan-CidHouse_2F.png,3,10
42,2,10,black,TILESET - Amur-ArmorShop.png,3,10
43,2,11,black,TILESET - Amur-House.png,3,10
44,2,12,black,TILESET - Inn_ItemShop.png,5,14
45,2,13,black,TILESET - Ur_EldersHouse.png,5,14
46,2,14,black,TILESET - Shop_1.png,5,14
47,2,15,black,TILESET - Shop_1.png,3,10
48,3,0,black,TILESET - Ur_EldersHouse.png,3,10
49,3,1,black,TILESET - Inn_ItemShop.png,3,10
50,3,2,black,TILESET - Inn_ItemShop.png,6,0
51,3,3,black,TILESET - Ur_EldersHouse.png,6,0
52,3,4,black,TILESET - Canaan-Magic_WeaponShop.png,6,0
53,3,5,black,TILESET - Tozus-Inn_ItemShop.png,3,10
54,3,6,black,TILESET - Canaan-Inn_ItemShop.png,3,10
55,3,7,black,TILESET - Canaan-Inn_ItemShop.png,6,0
56,3,8,black,TILESET - Canaan-NobleHouse.png,3,10
57,3,9,black,TILESET - Canaan-NobleHouse.png,5,14
58,3,10,black,TILESET - Castle_Sasune_Inner.png,3,10
59,3,11,black,TILESET - Castle_Argus-Tower.png,3,10
60,3,12,black,TILESET - Cave_of_Tides1.png,3,0
61,3,13,black,TILESET - Cave_of_Shadows1_1.png,3,0
62,3,14,black,TILESET - Saronia_Castle-Gate.png,2,1
63,3,15,black,TILESET - Castle_Argus.png,0,2
64,4,0,black,TILESET - Tower_of_Owen1F.png,0,1
65,4,1,black,TILESET - Tower_of_Owen6F.png,0,1
66,4,2,black,TILESET - Eureka_B6.png,4,3
67,4,3,black,TILESET - Bahamuts_Nest.png,1,9
68,4,4,black,TILESET - Eureka_B6.png,4,4
69,4,5,black,TILESET - Inn_ItemShop.png,3,3
70,4,6,black,TILESET - Sewers1.png,0,9
71,4,7,black,TILESET - Bahamuts_Nest.png,2,9
72,4,8,black,TILESET - Sewers1.png,1,14
73,4,9,black,TILESET - Tower_of_Owen1F.png,3,6
74,4,10,black,TILESET - Tower_of_Owen6F.png,3,6
75,4,11,black,TILESET - Tower_of_Owen10F.png,3,6
76,4,12,black,TILESET - Goldor_Manor1_1.png,4,7
77,4,13,black,TILESET - Dragons_Peak.png,2,2
78,4,14,black,TILESET - Chocobos_Forest.png,2,2
79,4,15,black,TILESET - Retrieval_Forest.png,2,2
80,5,0,black,TILESET - Castle_Sasune.png,2,4
81,5,1,black,TILESET - Castle_Argus.png,2,4
82,5,2,black,TILESET - Castle_Argus.png,2,5
83,5,3,black,TILESET - Dragons_Peak.png,4,0
84,5,4,black,TILESET - Bahamuts_Nest.png,4,0
85,5,5,furniture_object,TILESET - Ancients_Maze1.png,4,8
86,5,6,furniture_object,TILESET - The_Invincible.png,4,8
87,5,7,furniture_object,TILESET - Bahamuts_Nest.png,5,4
88,5,8,furniture_object,TILESET - Alter Cave.png,4,8
89,5,9,furniture_object,TILESET - SealedCave.png,4,8
90,5,10,furniture_object,TILESET - Dragons_Peak.png,5,4
91,5,11,furniture_object,TILESET - Castle_Argus-Tower.png,3,15
92,5,12,furniture_object,TILESET - Castle_Argus-Tower.png,2,4
93,5,13,furniture_object,TILESET - Castle_Argus-Tower.png,2,6
94,5,14,furniture_object,TILESET - Canaan-CidHouse_1F.png,0,7
95,5,15,furniture_object,TILESET - Canaan-CidHouse_1F.png,7,8
96,6,0,furniture_object,TILESET - Canaan-Shrine.png,0,7
97,6,1,furniture_object,TILESET - Canaan-ArmorShop.png,0,7
98,6,2,furniture_object,TILESET - Canaan-Magic_WeaponShop.png,0,7
99,6,3,furniture_object,TILESET - Canaan-Magic_WeaponShop.png,2,12
100,6,4,furniture_object,TILESET - Canaan-ArmorShop.png,2,12
101,6,5,furniture_object,TILESET - Canaan-Shrine.png,2,12
102,6,6,furniture_object,TILESET - Canaan-CidHouse_1F.png,2,12
103,6,7,furniture_object,TILESET - Canaan-Magic_WeaponShop.png,7,12
104,6,8,furniture_object,TILESET - Canaan-ArmorShop.png,7,12
105,6,9,furniture_object,TILESET - Goldor_Manor1_1.png,0,9
106,6,10,furniture_object,TILESET - Castle_Argus.png,0,12
107,6,11,furniture_object,TILESET - Sewers1.png,3,3
108,6,12,furniture_object,TILESET - Eureka_B7_1.png,1,11
