source_tileset,source_row,source_column,tile_id,match_type
TILESET - Airship.png,0,0,5274,representative
TILESET - Airship.png,0,1,1067,representative
TILESET - Airship.png,0,2,1919,representative
TILESET - Airship.png,0,3,4438,representative
TILESET - Airship.png,0,4,3696,representative
TILESET - Airship.png,0,5,4717,representative
TILESET - Airship.png,0,6,3864,representative
TILESET - Airship.png,0,7,4284,representative
TILESET - Airship.png,0,8,3095,representative
TILESET - Airship.png,0,9,2259,representative
TILESET - Airship.png,0,10,4500,representative
TILESET - Airship.png,0,11,1568,representative
TILESET - Airship.png,0,12,4395,representative
TILESET - Airship.png,0,13,3845,representative
TILESET - Airship.png,0,14,2863,representative
TILESET - Airship.png,0,15,464,representative
TILESET - Airship.png,1,0,1956,representative
TILESET - Airship.png,1,1,2206,representative
TILESET - Airship.png,1,2,4074,representative
TILESET - Airship.png,1,3,637,representative
TILESET - Airship.png,1,4,554,representative
TILESET - Airship.png,1,5,1095,representative
TILESET - Airship.png,1,6,1868,representative
TILESET - Airship.png,1,7,900,representative
TILESET - Airship.png,1,8,276,representative
TILESET - Airship.png,1,9,946,representative
TILESET - Airship.png,1,10,947,representative
TILESET - Airship.png,1,11,1068,representative
TILESET - Airship.png,1,12,1622,representative
TILESET - Airship.png,1,13,442,representative
TILESET - Airship.png,1,14,2183,representative
TILESET - Airship.png,1,15,2177,representative
TILESET - Airship.png,2,0,0,representative
TILESET - Airship.png,2,1,456,representative
TILESET - Airship.png,2,2,3696,exact
TILESET - Airship.png,2,3,4717,exact
TILESET - Airship.png,2,4,2259,exact
TILESET - Airship.png,2,5,2333,representative
TILESET - Airship.png,2,6,0,exact
TILESET - Airship.png,2,7,2099,representative
TILESET - Airship.png,2,8,2141,representative
TILESET - Airship.png,2,9,1871,representative
TILESET - Airship.png,2,10,1869,representative
TILESET - Airship.png,2,11,2131,representative
TILESET - Airship.png,2,12,2205,representative
TILESET - Airship.png,2,13,1858,representative
TILESET - Airship.png,2,14,840,representative
TILESET - Airship.png,2,15,1623,representative
TILESET - Airship.png,3,0,5677,representative
TILESET - Airship.png,3,1,1922,representative
TILESET - Airship.png,3,2,4251,representative
TILESET - Airship.png,3,3,457,representative
TILESET - Airship.png,3,4,659,representative
TILESET - Airship.png,3,5,1622,exact
TILESET - Airship.png,3,6,950,representative
TILESET - Airship.png,3,7,0,exact
TILESET - Airship.png,3,8,0,exact
TILESET - Airship.png,3,9,0,exact
TILESET - Airship.png,3,10,338,representative
TILESET - Airship.png,3,11,660,representative
TILESET - Airship.png,3,12,697,representative
TILESET - Airship.png,3,13,651,representative
TILESET - Airship.png,3,14,654,representative
TILESET - Airship.png,3,15,567,representative
TILESET - Airship.png,4,0,3752,representative
TILESET - Airship.png,4,1,2418,representative
TILESET - Airship.png,4,2,5777,representative
TILESET - Airship.png,4,3,2639,representative
TILESET - Airship.png,4,4,2639,exact
TILESET - Airship.png,4,5,1067,exact
TILESET - Airship.png,4,6,5664,representative
TILESET - Airship.png,4,7,3436,representative
TILESET - Airship.png,4,8,1062,representative
TILESET - Airship.png,4,9,5736,representative
TILESET - Airship.png,4,10,2475,representative
TILESET - Airship.png,4,11,4438,fuzzy
TILESET - Airship.png,4,12,4577,representative
TILESET - Airship.png,4,13,2920,representative
TILESET - Airship.png,4,14,3971,representative
TILESET - Airship.png,4,15,4087,representative
TILESET - Airship.png,5,0,0,exact
TILESET - Airship.png,5,1,0,exact
TILESET - Airship.png,5,2,0,exact
TILESET - Airship.png,5,3,0,exact
TILESET - Airship.png,5,4,0,exact
TILESET - Airship.png,5,5,0,exact
TILESET - Airship.png,5,6,0,exact
TILESET - Airship.png,5,7,0,exact
TILESET - Airship.png,5,8,0,exact
TILESET - Airship.png,5,9,0,exact
TILESET - Airship.png,5,10,3696,exact
TILESET - Airship.png,5,11,2639,exact
TILESET - Airship.png,5,12,2639,fuzzy
TILESET - Airship.png,5,13,1067,exact
TILESET - Airship.png,5,14,5677,exact
TILESET - Airship.png,5,15,0,exact
TILESET - Airship.png,6,0,5677,exact
TILESET - Airship.png,6,1,5677,exact
TILESET - Airship.png,6,2,3696,exact
TILESET - Airship.png,6,3,4251,exact
TILESET - Airship.png,6,4,2418,exact
TILESET - Airship.png,6,5,2475,exact
TILESET - Airship.png,6,6,5677,exact
TILESET - Airship.png,6,7,4251,exact
TILESET - Airship.png,6,8,4251,exact
TILESET - Airship.png,6,9,243,representative
TILESET - Airship.png,6,10,2418,exact
TILESET - Airship.png,6,11,2475,exact
TILESET - Airship.png,6,12,3170,representative
TILESET - Airship.png,6,13,3752,fuzzy
TILESET - Airship.png,6,14,2639,fuzzy
TILESET - Airship.png,6,15,2639,fuzzy
TILESET - Airship.png,7,0,2228,representative
TILESET - Airship.png,7,1,4533,representative
TILESET - Airship.png,7,2,2418,exact
TILESET - Airship.png,7,3,2475,exact
TILESET - Airship.png,7,4,3279,representative
TILESET - Airship.png,7,5,456,exact
TILESET - Airship.png,7,6,2639,exact
TILESET - Airship.png,7,7,2639,exact
TILESET - Airship.png,7,8,5677,exact
TILESET - Airship.png,7,9,5677,exact
TILESET - Airship.png,7,10,5677,exact
TILESET - Airship.png,7,11,5677,exact
TILESET - Airship.png,7,12,1989,representative
TILESET - Airship.png,7,13,948,representative
TILESET - Airship.png,7,14,387,representative
TILESET - Airship.png,7,15,0,exact
TILESET - Alter Cave.png,0,0,318,representative
TILESET - Alter Cave.png,0,1,1522,representative
TILESET - Alter Cave.png,0,2,1530,representative
TILESET - Alter Cave.png,0,3,4848,representative
TILESET - Alter Cave.png,0,4,3696,exact
TILESET - Alter Cave.png,0,5,4709,representative
TILESET - Alter Cave.png,0,6,3864,exact
TILESET - Alter Cave.png,0,7,0,exact
TILESET - Alter Cave.png,0,8,0,exact
TILESET - Alter Cave.png,0,9,834,representative
TILESET - Alter Cave.png,0,10,4351,representative
TILESET - Alter Cave.png,0,11,729,representative
TILESET - Alter Cave.png,0,12,3936,representative
TILESET - Alter Cave.png,0,13,3775,representative
TILESET - Alter Cave.png,0,14,1507,representative
TILESET - Alter Cave.png,0,15,313,representative
TILESET - Alter Cave.png,1,0,874,representative
TILESET - Alter Cave.png,1,1,391,representative
TILESET - Alter Cave.png,1,2,4071,representative
TILESET - Alter Cave.png,1,3,220,representative
TILESET - Alter Cave.png,1,4,1947,representative
TILESET - Alter Cave.png,1,5,380,representative
TILESET - Alter Cave.png,1,6,120,representative
TILESET - Alter Cave.png,1,7,173,representative
TILESET - Alter Cave.png,1,8,1020,representative
TILESET - Alter Cave.png,1,9,354,representative
TILESET - Alter Cave.png,1,10,756,representative
TILESET - Alter Cave.png,1,11,1538,representative
TILESET - Alter Cave.png,1,12,1666,representative
TILESET - Alter Cave.png,1,13,309,representative
TILESET - Alter Cave.png,1,14,0,exact
TILESET - Alter Cave.png,1,15,232,representative
TILESET - Alter Cave.png,2,0,0,exact
TILESET - Alter Cave.png,2,1,1509,representative
TILESET - Alter Cave.png,2,2,3696,exact
TILESET - Alter Cave.png,2,3,4709,exact
TILESET - Alter Cave.png,2,4,834,exact
TILESET - Alter Cave.png,2,5,1729,representative
TILESET - Alter Cave.png,2,6,0,exact
TILESET - Alter Cave.png,2,7,132,representative
TILESET - Alter Cave.png,2,8,1263,representative
TILESET - Alter Cave.png,2,9,118,representative
TILESET - Alter Cave.png,2,10,382,representative
