row,col,tile_id,mode,score
0,0,105,nearest,1767
0,1,105,nearest,1767
0,2,90,nearest,6396
0,3,90,nearest,6396
0,4,90,nearest,6396
0,5,90,nearest,6396
0,6,90,nearest,6396
0,7,90,nearest,6396
0,8,90,nearest,6396
0,9,90,nearest,6396
0,10,90,nearest,6396
0,11,90,nearest,6396
0,12,90,nearest,6396
0,13,90,nearest,6394
0,14,90,nearest,6400
0,15,90,nearest,6399
0,16,90,nearest,6400
0,17,90,nearest,6411
0,18,90,nearest,6417
0,19,90,nearest,6426
0,20,90,nearest,6432
0,21,90,nearest,6440
0,22,90,nearest,6452
0,23,90,nearest,6457
0,24,90,nearest,6465
0,25,90,nearest,6487
0,26,90,nearest,6497
0,27,90,nearest,6506
0,28,90,nearest,6533
0,29,105,nearest,1810
0,30,105,nearest,1812
0,31,105,nearest,1817
1,0,105,nearest,1767
1,1,90,nearest,6396
1,2,34,nearest,7288
1,3,91,nearest,7287
1,4,91,nearest,7287
1,5,91,nearest,7287
1,6,91,nearest,7287
1,7,91,nearest,7287
1,8,34,nearest,7288
1,9,34,nearest,7288
1,10,34,nearest,7288
1,11,34,nearest,7288
1,12,34,nearest,7288
1,13,34,nearest,7288
1,14,34,nearest,7292
1,15,34,nearest,7292
1,16,34,nearest,7298
1,17,34,nearest,7310
1,18,34,nearest,7325
1,19,34,nearest,7341
1,20,34,nearest,7355
1,21,34,nearest,7362
1,22,34,nearest,7378
1,23,34,nearest,7391
1,24,34,nearest,7393
1,25,34,nearest,7406
1,26,34,nearest,7411
1,27,34,nearest,7429
1,28,34,nearest,7451
1,29,90,nearest,6542
1,30,105,nearest,1812
1,31,105,nearest,1817
2,0,90,nearest,6396
2,1,34,nearest,7288
2,2,34,nearest,7288
2,3,35,nearest,5727
2,4,35,nearest,5727
2,5,35,nearest,5727
2,6,35,nearest,5727
2,7,35,nearest,5727
2,8,34,nearest,7288
2,9,34,nearest,7288
2,10,34,nearest,7288
2,11,34,nearest,7288
2,12,34,nearest,7288
2,13,34,nearest,7288
2,14,34,nearest,7292
2,15,34,nearest,7292
2,16,34,nearest,7298
2,17,34,nearest,7310
2,18,34,nearest,7325
2,19,34,nearest,7341
2,20,91,nearest,7362
2,21,91,nearest,7381
2,22,91,nearest,7397
2,23,34,nearest,7391
2,24,34,nearest,7393
2,25,34,nearest,7406
2,26,34,nearest,7411
2,27,34,nearest,7429
2,28,34,nearest,7451
2,29,34,nearest,7466
2,30,90,nearest,6558
2,31,105,nearest,1817
3,0,34,nearest,7288
3,1,34,nearest,7288
3,2,91,nearest,7287
3,3,105,nearest,1767
3,4,105,nearest,1767
3,5,105,nearest,1767
3,6,105,nearest,1767
3,7,105,nearest,1767
3,8,91,nearest,7287
3,9,91,nearest,7287
3,10,91,nearest,7287
3,11,91,nearest,7287
3,12,91,nearest,7287
3,13,91,nearest,7287
3,14,91,nearest,7291
3,15,91,nearest,7291
3,16,91,nearest,7301
3,17,91,nearest,7309
3,18,91,nearest,7320
3,19,91,nearest,7342
3,20,35,nearest,5745
3,21,35,nearest,5779
3,22,35,nearest,5793
3,23,35,nearest,5803
3,24,35,nearest,5806
3,25,34,nearest,7403
3,26,34,nearest,7411
3,27,34,nearest,7429
3,28,34,nearest,7451
3,29,34,nearest,7466
3,30,34,nearest,7497
3,31,90,nearest,6563
4,0,34,nearest,7288
4,1,34,nearest,7288
4,2,35,nearest,5727
4,3,105,nearest,1767
4,4,25,nearest,14658
4,5,25,nearest,14658
4,6,25,nearest,14658
4,7,105,nearest,1767
4,8,35,nearest,5727
4,9,35,nearest,5727
4,10,35,nearest,5727
4,11,35,nearest,5727
4,12,35,nearest,5727
4,13,35,nearest,5727
4,14,35,nearest,5727
4,15,35,nearest,5727
4,16,35,nearest,5719
4,17,35,nearest,5722
4,18,35,nearest,5735
4,19,35,nearest,5741
4,20,105,nearest,1767
4,21,105,nearest,1768
4,22,105,nearest,1777
4,23,105,nearest,1777
