row,col,tile_id,mode,score
0,0,128,nearest,323
0,1,112,nearest,24986
0,2,112,nearest,24832
0,3,112,nearest,24832
0,4,112,nearest,24732
0,5,112,nearest,24832
0,6,112,nearest,24832
0,7,112,nearest,25152
0,8,128,nearest,8
1,0,112,nearest,25624
1,1,112,nearest,25541
1,2,94,nearest,14866
1,3,94,nearest,14981
1,4,49,nearest,39048
1,5,94,nearest,14881
1,6,94,nearest,14881
1,7,112,nearest,25457
1,8,112,nearest,25789
2,0,112,nearest,26314
2,1,94,nearest,15193
2,2,94,nearest,14782
2,3,94,nearest,14782
2,4,94,nearest,14782
2,5,94,nearest,14782
2,6,94,nearest,14783
2,7,94,nearest,15212
2,8,112,nearest,26396
3,0,112,nearest,26943
3,1,94,nearest,15130
3,2,97,nearest,3863
3,3,97,nearest,3838
3,4,97,nearest,3913
3,5,97,nearest,3838
3,6,97,nearest,3960
3,7,94,nearest,15064
3,8,112,nearest,27032
4,0,112,nearest,27624
4,1,97,nearest,3954
4,2,97,nearest,3935
4,3,33,nearest,25232
4,4,94,nearest,37644
4,5,33,nearest,25235
4,6,97,nearest,3921
4,7,97,nearest,4152
4,8,112,nearest,27641
5,0,112,nearest,28205
5,1,97,nearest,4184
5,2,33,nearest,25706
5,3,97,nearest,4176
5,4,98,nearest,31532
5,5,97,nearest,4042
5,6,33,nearest,25705
5,7,97,nearest,4361
5,8,112,nearest,28211
6,0,112,nearest,28595
6,1,112,nearest,28882
6,2,97,nearest,4263
6,3,97,nearest,4114
6,4,97,nearest,4115
6,5,97,nearest,4112
6,6,97,nearest,4449
6,7,112,nearest,28740
6,8,112,nearest,28745
7,0,94,nearest,16742
7,1,112,nearest,29155
7,2,112,nearest,29459
7,3,97,nearest,4333
7,4,97,nearest,4329
7,5,97,nearest,4518
7,6,112,nearest,29310
7,7,112,nearest,29241
7,8,94,nearest,16843
8,0,94,nearest,16857
8,1,94,nearest,17059
8,2,112,nearest,29814
8,3,112,nearest,29823
8,4,112,nearest,29823
8,5,112,nearest,29823
8,6,112,nearest,29890
8,7,94,nearest,17035
8,8,94,nearest,16979
9,0,96,nearest,185
9,1,94,nearest,17142
9,2,94,nearest,17371
9,3,94,nearest,17371
9,4,94,nearest,17167
9,5,94,nearest,17371
9,6,94,nearest,17371
9,7,94,nearest,17268
9,8,96,inner_exact,0
10,0,96,inner_exact,0
10,1,96,nearest,186
10,2,94,nearest,17407
10,3,94,nearest,17525
10,4,127,nearest,5261
10,5,94,nearest,17409
10,6,94,nearest,17530
10,7,96,inner_exact,0
10,8,96,inner_exact,0
11,0,96,inner_exact,0
11,1,96,inner_exact,0
11,2,96,inner_exact,0
11,3,96,inner_exact,0
11,4,96,inner_exact,0
11,5,96,inner_exact,0
